Batch Name,Number of Ballots
ALPENA COUNTY MAPLE RIDGE TOWNSHIP 00001,405
ALPENA COUNTY OSSINEKE TOWNSHIP 00001,416
ALPENA COUNTY SANBORN TOWNSHIP 00001,471
ALPENA COUNTY WELLINGTON TOWNSHIP 00001,57
ALPENA COUNTY WILSON TOWNSHIP 00001,474
ANTRIM COUNTY BANKS TOWNSHIP 00001,412
ANTRIM COUNTY CENTRAL LAKE TOWNSHIP 00001,611
ANTRIM COUNTY CHESTONIA TOWNSHIP 00001,127
ANTRIM COUNTY CUSTER TOWNSHIP 00001,320
ANTRIM COUNTY ECHO TOWNSHIP 00001,236
ANTRIM COUNTY ELK RAPIDS TOWNSHIP 00001,714
ANTRIM COUNTY FOREST HOME TOWNSHIP 00001,501
ANTRIM COUNTY HELENA TOWNSHIP 00001,281
ANTRIM COUNTY JORDAN TOWNSHIP 00001,219
ANTRIM COUNTY KEARNEY TOWNSHIP 00001,502
ANTRIM COUNTY MANCELONA TOWNSHIP 00001,648
ANTRIM COUNTY MANCELONA TOWNSHIP 00002,413
ANTRIM COUNTY MILTON TOWNSHIP 00001,655
ANTRIM COUNTY STAR TOWNSHIP 00001,254
ANTRIM COUNTY TORCH LAKE TOWNSHIP 00001,355
ANTRIM COUNTY WARNER TOWNSHIP 00001,82
ARENAC COUNTY ADAMS TOWNSHIP 00001,115
ARENAC COUNTY ARENAC TOWNSHIP 00001,205
ARENAC COUNTY AU GRES CITY 00001,208
ARENAC COUNTY AU GRES TOWNSHIP 00001,255
ARENAC COUNTY CLAYTON TOWNSHIP 00001,234
ARENAC COUNTY DEEP RIVER TOWNSHIP 00001,514
ARENAC COUNTY LINCOLN TOWNSHIP 00001,209
ARENAC COUNTY MASON TOWNSHIP 00001,166
ARENAC COUNTY MOFFATT TOWNSHIP 00001,310
ARENAC COUNTY OMER CITY 01001,69
ARENAC COUNTY SIMS TOWNSHIP 00001,271
ARENAC COUNTY STANDISH CITY 00001,307
ARENAC COUNTY STANDISH TOWNSHIP 00001,402
ARENAC COUNTY TURNER TOWNSHIP 00001,131
ARENAC COUNTY WHITNEY TOWNSHIP 00001,251
BARAGA COUNTY ARVON TOWNSHIP 00001,144
BARAGA COUNTY BARAGA TOWNSHIP 00001,365
BARAGA COUNTY BARAGA TOWNSHIP 00002,113
BARAGA COUNTY BARAGA TOWNSHIP 00003,83
BARAGA COUNTY BARAGA TOWNSHIP 00004,125
BARAGA COUNTY COVINGTON TOWNSHIP 00001,101
BARAGA COUNTY LANSE TOWNSHIP 00001,926
BARAGA COUNTY SPURR TOWNSHIP 00001,76
BARRY COUNTY ASSYRIA TOWNSHIP 00001,484
BARRY COUNTY BALTIMORE TOWNSHIP 00001,447
BARRY COUNTY BARRY TOWNSHIP 00001,797
BARRY COUNTY CARLTON TOWNSHIP 00001,560
BARRY COUNTY CASTLETON TOWNSHIP 00001,746
BARRY COUNTY HASTINGS CITY 00001,422
BARRY COUNTY HASTINGS CITY 00002,410
BARRY COUNTY HASTINGS CITY 00003,393
BARRY COUNTY HASTINGS CITY 00004,417
BARRY COUNTY HASTINGS TOWNSHIP 00001,692
BARRY COUNTY HOPE TOWNSHIP 00001,777
BARRY COUNTY IRVING TOWNSHIP 00001,808
BARRY COUNTY JOHNSTOWN TOWNSHIP 00001,712
BARRY COUNTY MAPLE GROVE TOWNSHIP 00001,326
BARRY COUNTY ORANGEVILLE TOWNSHIP 00001,782
BARRY COUNTY PRAIRIEVILLE TOWNSHIP 00001,780
BARRY COUNTY RUTLAND TOWNSHIP 00001,424
BARRY COUNTY RUTLAND TOWNSHIP 00002,548
BARRY COUNTY THORNAPPLE TOWNSHIP 00001,654
BARRY COUNTY THORNAPPLE TOWNSHIP 00002,470
BARRY COUNTY THORNAPPLE TOWNSHIP 00003,833
BARRY COUNTY WOODLAND TOWNSHIP 00001,464
BARRY COUNTY YANKEE SPRINGS TOWNSHIP 00001,713
BARRY COUNTY YANKEE SPRINGS TOWNSHIP 00002,496
BAY COUNTY AUBURN CITY 00001,476
BAY COUNTY BANGOR TOWNSHIP 00001,424
BAY COUNTY BANGOR TOWNSHIP 00002,566
BAY COUNTY BANGOR TOWNSHIP 00003,613
BAY COUNTY BANGOR TOWNSHIP 00004,488
BAY COUNTY BANGOR TOWNSHIP 00005,818
BAY COUNTY BANGOR TOWNSHIP 00006,595
BAY COUNTY BAY CITY CITY 01001,783
BAY COUNTY BAY CITY CITY 02001,830
BAY COUNTY BAY CITY CITY 03001,765
BAY COUNTY BAY CITY CITY 04001,823
BAY COUNTY BAY CITY CITY 05001,867
BAY COUNTY BAY CITY CITY 06001,797
BAY COUNTY BAY CITY CITY 07001,812
BAY COUNTY BAY CITY CITY 08001,791
BAY COUNTY BAY CITY CITY 09001,798
BAY COUNTY BEAVER TOWNSHIP 00001,639
BAY COUNTY ESSEXVILLE CITY 00001,397
BAY COUNTY ESSEXVILLE CITY 00002,422
BAY COUNTY FRANKENLUST TOWNSHIP 00001,916
BAY COUNTY FRASER TOWNSHIP 00001,712
BAY COUNTY GARFIELD TOWNSHIP 00001,398
BAY COUNTY GIBSON TOWNSHIP 00001,254
BAY COUNTY HAMPTON TOWNSHIP 00001,276
BAY COUNTY HAMPTON TOWNSHIP 00002,434
BAY COUNTY HAMPTON TOWNSHIP 00003,445
BAY COUNTY HAMPTON TOWNSHIP 00004,572
BAY COUNTY HAMPTON TOWNSHIP 00005,413
BAY COUNTY KAWKAWLIN TOWNSHIP 00001,611
BAY COUNTY KAWKAWLIN TOWNSHIP 00002,475
BAY COUNTY MERRITT TOWNSHIP 00001,318
BAY COUNTY MIDLAND CITY 01006,38
BAY COUNTY MONITOR TOWNSHIP 00001,338
BAY COUNTY MONITOR TOWNSHIP 00002,573
BAY COUNTY MONITOR TOWNSHIP 00003,462
BAY COUNTY MONITOR TOWNSHIP 00004,389
BAY COUNTY MONITOR TOWNSHIP 00005,527
BAY COUNTY MONITOR TOWNSHIP 00006,301
BAY COUNTY MOUNT FOREST TOWNSHIP 00001,329
BAY COUNTY PINCONNING CITY 00001,271
BAY COUNTY PINCONNING TOWNSHIP 00001,547
BAY COUNTY PORTSMOUTH TOWNSHIP 00001,350
BAY COUNTY PORTSMOUTH TOWNSHIP 00002,477
BAY COUNTY WILLIAMS TOWNSHIP 00001,584
BAY COUNTY WILLIAMS TOWNSHIP 00002,443
BAY COUNTY WILLIAMS TOWNSHIP 00003,160
BENZIE COUNTY ALMIRA TOWNSHIP 00001,938
BENZIE COUNTY BENZONIA TOWNSHIP 00001,745
BENZIE COUNTY BLAINE TOWNSHIP 00001,147
BENZIE COUNTY COLFAX TOWNSHIP 00001,180
BENZIE COUNTY CRYSTAL LAKE TOWNSHIP 00001,319
BENZIE COUNTY FRANKFORT CITY 00001,326
BENZIE COUNTY GILMORE TOWNSHIP 00001,201
BENZIE COUNTY HOMESTEAD TOWNSHIP 00001,625
BENZIE COUNTY INLAND TOWNSHIP 00001,570
BENZIE COUNTY JOYFIELD TOWNSHIP 00001,203
BENZIE COUNTY LAKE TOWNSHIP 00001,236
BENZIE COUNTY PLATTE TOWNSHIP 00001,97
BENZIE COUNTY WELDON TOWNSHIP 00001,155
BERRIEN COUNTY BAINBRIDGE TOWNSHIP 00001,637
BERRIEN COUNTY BARODA TOWNSHIP 00001,674
BERRIEN COUNTY BENTON CHARTER TOWNSHIP 00001,870
BERRIEN COUNTY BENTON CHARTER TOWNSHIP 00002,647
BERRIEN COUNTY BENTON CHARTER TOWNSHIP 00003,350
BERRIEN COUNTY BENTON CHARTER TOWNSHIP 00004,484
BERRIEN COUNTY BENTON CHARTER TOWNSHIP 00005,743
BERRIEN COUNTY BENTON CHARTER TOWNSHIP 00006,749
BERRIEN COUNTY BENTON HARBOR CITY 01001,717
BERRIEN COUNTY BENTON HARBOR CITY 02001,505
BERRIEN COUNTY BENTON HARBOR CITY 03001,701
BERRIEN COUNTY BENTON HARBOR CITY 04001,678
BERRIEN COUNTY BERRIEN TOWNSHIP 00001,604
BERRIEN COUNTY BERRIEN TOWNSHIP 00002,535
BERRIEN COUNTY BERTRAND TOWNSHIP 00001,687
BERRIEN COUNTY BRIDGMAN CITY 00001,531
BERRIEN COUNTY BUCHANAN CITY 00001,619
BERRIEN COUNTY BUCHANAN CITY 00002,425
BERRIEN COUNTY BUCHANAN TOWNSHIP 00001,843
BERRIEN COUNTY CHIKAMING TOWNSHIP 00001,821
BERRIEN COUNTY COLOMA CITY 00001,356
BERRIEN COUNTY COLOMA CHARTER TOWNSHIP 00001,703
BERRIEN COUNTY COLOMA CHARTER TOWNSHIP 00002,570
BERRIEN COUNTY GALIEN TOWNSHIP 00001,353
BERRIEN COUNTY HAGAR TOWNSHIP 00001,382
BERRIEN COUNTY HAGAR TOWNSHIP 00002,461
BERRIEN COUNTY LAKE CHARTER TOWNSHIP 00001,794
BERRIEN COUNTY LINCOLN CHARTER TOWNSHIP 00001,743
BERRIEN COUNTY LINCOLN CHARTER TOWNSHIP 00002,532
BERRIEN COUNTY LINCOLN CHARTER TOWNSHIP 00003,766
BERRIEN COUNTY LINCOLN CHARTER TOWNSHIP 00004,682
BERRIEN COUNTY LINCOLN CHARTER TOWNSHIP 00005,448
BERRIEN COUNTY LINCOLN CHARTER TOWNSHIP 00006,410
BERRIEN COUNTY NEW BUFFALO CITY 00001,517
BERRIEN COUNTY NEW BUFFALO TOWNSHIP 00001,680
BERRIEN COUNTY NILES CITY 01001,668
BERRIEN COUNTY NILES CITY 02002,780
BERRIEN COUNTY NILES CITY 03003,739
BERRIEN COUNTY NILES CITY 04004,772
BERRIEN COUNTY NILES CHARTER TOWNSHIP 00001,616
BERRIEN COUNTY NILES CHARTER TOWNSHIP 00002,546
BERRIEN COUNTY NILES CHARTER TOWNSHIP 00003,828
BERRIEN COUNTY NILES CHARTER TOWNSHIP 00004,792
BERRIEN COUNTY NILES CHARTER TOWNSHIP 00005,624
BERRIEN COUNTY ORONOKO CHARTER TOWNSHIP 00001,624
BERRIEN COUNTY ORONOKO CHARTER TOWNSHIP 00002,412
BERRIEN COUNTY ORONOKO CHARTER TOWNSHIP 00003,788
BERRIEN COUNTY PIPESTONE TOWNSHIP 00001,529
BERRIEN COUNTY ROYALTON TOWNSHIP 00001,548
BERRIEN COUNTY ROYALTON TOWNSHIP 00002,651
BERRIEN COUNTY ST JOSEPH CITY 00001,779
BERRIEN COUNTY ST JOSEPH CITY 00002,690
BERRIEN COUNTY ST JOSEPH CITY 00003,659
BERRIEN COUNTY ST JOSEPH CHARTER TOWNSHIP 00001,848
BERRIEN COUNTY ST JOSEPH CHARTER TOWNSHIP 00002,538
BERRIEN COUNTY ST JOSEPH CHARTER TOWNSHIP 00003,431
BERRIEN COUNTY ST JOSEPH CHARTER TOWNSHIP 00004,818
BERRIEN COUNTY SODUS TOWNSHIP 00001,519
BERRIEN COUNTY THREE OAKS TOWNSHIP 00001,699
BERRIEN COUNTY WATERVLIET CITY 00001,382
BERRIEN COUNTY WATERVLIET CHARTER TOWNSHIP 00001,757
BERRIEN COUNTY WEESAW TOWNSHIP 00001,493
BRANCH COUNTY ALGANSEE TOWNSHIP 00001,396
BRANCH COUNTY BATAVIA TOWNSHIP 00001,320
BRANCH COUNTY BETHEL TOWNSHIP 00001,287
BRANCH COUNTY BRONSON CITY 00001,457
BRANCH COUNTY BRONSON TOWNSHIP 00001,309
BRANCH COUNTY BUTLER TOWNSHIP 00001,257
BRANCH COUNTY CALIFORNIA TOWNSHIP 00001,138
BRANCH COUNTY COLDWATER CITY 01001,547
BRANCH COUNTY COLDWATER CITY 02001,600
BRANCH COUNTY COLDWATER CITY 03001,662
BRANCH COUNTY COLDWATER CITY 04001,536
BRANCH COUNTY COLDWATER TOWNSHIP 00001,870
BRANCH COUNTY GILEAD TOWNSHIP 00001,153
BRANCH COUNTY GIRARD TOWNSHIP 00001,447
BRANCH COUNTY KINDERHOOK TOWNSHIP 00001,441
BRANCH COUNTY MATTESON TOWNSHIP 00001,287
BRANCH COUNTY NOBLE TOWNSHIP 00001,106
BRANCH COUNTY OVID TOWNSHIP 00001,655
BRANCH COUNTY QUINCY TOWNSHIP 00001,415
BRANCH COUNTY QUINCY TOWNSHIP 00002,580
BRANCH COUNTY SHERWOOD TOWNSHIP 00001,496
BRANCH COUNTY UNION TOWNSHIP 00001,666
CALHOUN COUNTY ALBION CITY 00001,298
CALHOUN COUNTY ALBION CITY 00002,250
CALHOUN COUNTY ALBION CITY 00003,337
CALHOUN COUNTY ALBION CITY 00004,217
CALHOUN COUNTY ALBION CITY 00005,329
CALHOUN COUNTY ALBION CITY 00006,148
CALHOUN COUNTY ALBION TOWNSHIP 00001,260
CALHOUN COUNTY ATHENS TOWNSHIP 00001,550
CALHOUN COUNTY BATTLE CREEK CITY 03001,479
CALHOUN COUNTY BATTLE CREEK CITY 04002,450
CALHOUN COUNTY BATTLE CREEK CITY 05003,504
CALHOUN COUNTY BATTLE CREEK CITY 01004,419
CALHOUN COUNTY BATTLE CREEK CITY 05005,516
CALHOUN COUNTY BATTLE CREEK CITY 04006,545
CALHOUN COUNTY BATTLE CREEK CITY 02007,433
CALHOUN COUNTY BATTLE CREEK CITY 04008,585
CALHOUN COUNTY BATTLE CREEK CITY 04009,453
CALHOUN COUNTY BATTLE CREEK CITY 01010,772
CALHOUN COUNTY BATTLE CREEK CITY 05011,855
CALHOUN COUNTY BATTLE CREEK CITY 02012,513
CALHOUN COUNTY BATTLE CREEK CITY 04013,527
CALHOUN COUNTY BATTLE CREEK CITY 03015,618
CALHOUN COUNTY BATTLE CREEK CITY 03017,677
CALHOUN COUNTY BATTLE CREEK CITY 02018,594
CALHOUN COUNTY BATTLE CREEK CITY 03019,363
CALHOUN COUNTY BATTLE CREEK CITY 05020,523
CALHOUN COUNTY BATTLE CREEK CITY 02021,668
CALHOUN COUNTY BATTLE CREEK CITY 01022,440
CALHOUN COUNTY BATTLE CREEK CITY 01023,525
CALHOUN COUNTY BEDFORD TOWNSHIP 00001,584
CALHOUN COUNTY BEDFORD TOWNSHIP 00002,811
CALHOUN COUNTY BEDFORD TOWNSHIP 00003,886
CALHOUN COUNTY BURLINGTON TOWNSHIP 00001,428
CALHOUN COUNTY CLARENCE TOWNSHIP 00001,458
CALHOUN COUNTY CLARENDON TOWNSHIP 00001,264
CALHOUN COUNTY CONVIS TOWNSHIP 00001,354
CALHOUN COUNTY ECKFORD TOWNSHIP 00001,306
CALHOUN COUNTY EMMETT TOWNSHIP 00001,590
CALHOUN COUNTY EMMETT TOWNSHIP 00002,670
CALHOUN COUNTY EMMETT TOWNSHIP 00003,635
CALHOUN COUNTY EMMETT TOWNSHIP 00004,809
CALHOUN COUNTY FREDONIA TOWNSHIP 00001,414
CALHOUN COUNTY HOMER TOWNSHIP 00001,560
CALHOUN COUNTY LEE TOWNSHIP 00001,250
CALHOUN COUNTY LEROY TOWNSHIP 00001,487
CALHOUN COUNTY LEROY TOWNSHIP 00002,435
CALHOUN COUNTY MARENGO TOWNSHIP 00001,528
CALHOUN COUNTY MARSHALL CITY 00001,870
CALHOUN COUNTY MARSHALL CITY 00002,835
CALHOUN COUNTY MARSHALL TOWNSHIP 00001,775
CALHOUN COUNTY NEWTON TOWNSHIP 00001,667
CALHOUN COUNTY PENNFIELD TOWNSHIP 00001,751
CALHOUN COUNTY PENNFIELD TOWNSHIP 00002,646
CALHOUN COUNTY PENNFIELD TOWNSHIP 00003,652
CALHOUN COUNTY SHERIDAN TOWNSHIP 00001,414
CALHOUN COUNTY SPRINGFIELD CITY 00001,517
CALHOUN COUNTY SPRINGFIELD CITY 00002,485
CALHOUN COUNTY TEKONSHA TOWNSHIP 00001,372
CASS COUNTY CALVIN TOWNSHIP 00001,560
CASS COUNTY DOWAGIAC CITY 00001,493
CASS COUNTY DOWAGIAC CITY 00002,449
CASS COUNTY DOWAGIAC CITY 00003,465
CASS COUNTY HOWARD TOWNSHIP 00001,765
CASS COUNTY HOWARD TOWNSHIP 00002,802
CASS COUNTY JEFFERSON TOWNSHIP 00001,634
CASS COUNTY LA GRANGE TOWNSHIP 00001,891
CASS COUNTY MARCELLUS TOWNSHIP 00001,554
CASS COUNTY MASON TOWNSHIP 00001,635
CASS COUNTY MILTON TOWNSHIP 00001,809
CASS COUNTY NEWBERG TOWNSHIP 00001,396
CASS COUNTY ONTWA TOWNSHIP 00001,798
CASS COUNTY ONTWA TOWNSHIP 00002,793
CASS COUNTY PENN TOWNSHIP 00001,498
CASS COUNTY POKAGON TOWNSHIP 00001,535
CASS COUNTY PORTER TOWNSHIP 00001,542
CASS COUNTY PORTER TOWNSHIP 00002,452
CASS COUNTY SILVER CREEK TOWNSHIP 00001,783
CASS COUNTY VOLINIA TOWNSHIP 00001,267
CASS COUNTY WAYNE TOWNSHIP 00001,590
CHARLEVOIX COUNTY BAY TOWNSHIP 00001,311
CHARLEVOIX COUNTY BOYNE CITY CITY 00016,964
CHARLEVOIX COUNTY BOYNE VALLEY TOWNSHIP 00002,349
CHARLEVOIX COUNTY CHANDLER TOWNSHIP 00003,69
CHARLEVOIX COUNTY CHARLEVOIX CITY 01018,242
CHARLEVOIX COUNTY CHARLEVOIX CITY 02019,204
CHARLEVOIX COUNTY CHARLEVOIX CITY 03020,230
CHARLEVOIX COUNTY CHARLEVOIX TOWNSHIP 00004,455
CHARLEVOIX COUNTY EAST JORDAN CITY 00021,521
CHARLEVOIX COUNTY EVANGELINE TOWNSHIP 00005,204
CHARLEVOIX COUNTY EVELINE TOWNSHIP 00006,422
CHARLEVOIX COUNTY HAYES TOWNSHIP 00007,530
CHARLEVOIX COUNTY HUDSON TOWNSHIP 00008,175
CHARLEVOIX COUNTY MARION TOWNSHIP 00009,461
CHARLEVOIX COUNTY MELROSE TOWNSHIP 00010,373
CHARLEVOIX COUNTY NORWOOD TOWNSHIP 00011,201
CHARLEVOIX COUNTY PEAINE TOWNSHIP 00012,100
CHARLEVOIX COUNTY ST JAMES TOWNSHIP 00013,94
CHARLEVOIX COUNTY SOUTH ARM TOWNSHIP 00014,476
CHARLEVOIX COUNTY WILSON TOWNSHIP 00015,457
CHEBOYGAN COUNTY ALOHA TOWNSHIP 00001,240
CHEBOYGAN COUNTY BEAUGRAND TOWNSHIP 00001,278
CHEBOYGAN COUNTY BENTON TOWNSHIP 00001,813
CHEBOYGAN COUNTY BURT TOWNSHIP 00001,203
CHEBOYGAN COUNTY CHEBOYGAN CITY 00001,95
CHEBOYGAN COUNTY CHEBOYGAN CITY 00002,839
CHEBOYGAN COUNTY CHEBOYGAN CITY 00003,125
CHEBOYGAN COUNTY ELLIS TOWNSHIP 00001,131
CHEBOYGAN COUNTY FOREST TOWNSHIP 00001,236
CHEBOYGAN COUNTY GRANT TOWNSHIP 00001,218
CHEBOYGAN COUNTY HEBRON TOWNSHIP 00001,76
CHEBOYGAN COUNTY INVERNESS TOWNSHIP 00001,603
CHEBOYGAN COUNTY KOEHLER TOWNSHIP 00001,303
CHEBOYGAN COUNTY MACKINAW TOWNSHIP 00001,137
CHEBOYGAN COUNTY MENTOR TOWNSHIP 00001,213
CHEBOYGAN COUNTY MULLETT TOWNSHIP 00001,343
CHEBOYGAN COUNTY MUNRO TOWNSHIP 00001,169
CHEBOYGAN COUNTY NUNDA TOWNSHIP 00001,272
CHEBOYGAN COUNTY TUSCARORA TOWNSHIP 00001,848
CHEBOYGAN COUNTY WALKER TOWNSHIP 00001,71
CHEBOYGAN COUNTY WAVERLY TOWNSHIP 00001,108
CHEBOYGAN COUNTY WILMOT TOWNSHIP 00001,197
CHIPPEWA COUNTY BAY MILLS TOWNSHIP 00001,362
CHIPPEWA COUNTY BRUCE TOWNSHIP 00001,474
CHIPPEWA COUNTY CHIPPEWA TOWNSHIP 00001,46
CHIPPEWA COUNTY DAFTER TOWNSHIP 00001,288
CHIPPEWA COUNTY DETOUR TOWNSHIP 00001,208
CHIPPEWA COUNTY DRUMMOND TOWNSHIP 00001,293
CHIPPEWA COUNTY HULBERT TOWNSHIP 00001,46
CHIPPEWA COUNTY KINROSS TOWNSHIP 00001,693
CHIPPEWA COUNTY PICKFORD TOWNSHIP 00001,366
CHIPPEWA COUNTY RABER TOWNSHIP 00001,159
CHIPPEWA COUNTY RUDYARD TOWNSHIP 00001,303
CHIPPEWA COUNTY SAULT STE MARIE CITY 00001,987
CHIPPEWA COUNTY SAULT STE MARIE CITY 00002,833
CHIPPEWA COUNTY SAULT STE MARIE CITY 00003,846
CHIPPEWA COUNTY SOO TOWNSHIP 00001,729
CHIPPEWA COUNTY SUGAR ISLAND TOWNSHIP 00001,193
CHIPPEWA COUNTY SUPERIOR TOWNSHIP 00001,314
CHIPPEWA COUNTY TROUT LAKE TOWNSHIP 00001,94
CHIPPEWA COUNTY WHITEFISH TOWNSHIP 00001,167
CLARE COUNTY ARTHUR TOWNSHIP 00001,140
CLARE COUNTY CLARE CITY 00001,671
CLARE COUNTY FRANKLIN TOWNSHIP 00001,200
CLARE COUNTY FREEMAN TOWNSHIP 00001,311
CLARE COUNTY FROST TOWNSHIP 00001,269
CLARE COUNTY GARFIELD TOWNSHIP 00001,455
CLARE COUNTY GRANT TOWNSHIP 00001,727
CLARE COUNTY GREENWOOD TOWNSHIP 00001,254
CLARE COUNTY HAMILTON TOWNSHIP 00001,456
CLARE COUNTY HARRISON CITY 00001,446
CLARE COUNTY HATTON TOWNSHIP 00001,210
CLARE COUNTY HAYES TOWNSHIP 00001,522
CLARE COUNTY HAYES TOWNSHIP 00002,564
CLARE COUNTY LINCOLN TOWNSHIP 00001,484
CLARE COUNTY REDDING TOWNSHIP 00001,114
CLARE COUNTY SHERIDAN TOWNSHIP 00001,251
CLARE COUNTY SUMMERFIELD TOWNSHIP 00001,122
CLARE COUNTY SURREY TOWNSHIP 00001,844
CLARE COUNTY WINTERFIELD TOWNSHIP 00001,113
CLINTON COUNTY BATH TOWNSHIP 00001,418
CLINTON COUNTY BATH TOWNSHIP 00002,631
CLINTON COUNTY BATH TOWNSHIP 00003,407
CLINTON COUNTY BATH TOWNSHIP 00004,758
CLINTON COUNTY BATH TOWNSHIP 00005,464
CLINTON COUNTY BENGAL TOWNSHIP 00001,254
CLINTON COUNTY BINGHAM TOWNSHIP 00001,689
CLINTON COUNTY DALLAS TOWNSHIP 00001,508
CLINTON COUNTY DE WITT CITY 00001,492
CLINTON COUNTY DE WITT CITY 00002,658
CLINTON COUNTY DE WITT TOWNSHIP 00001,590
CLINTON COUNTY DE WITT TOWNSHIP 00002,456
CLINTON COUNTY DE WITT TOWNSHIP 00003,611
CLINTON COUNTY DE WITT TOWNSHIP 00004,378
CLINTON COUNTY DE WITT TOWNSHIP 00005,522
CLINTON COUNTY DE WITT TOWNSHIP 00006,398
CLINTON COUNTY DE WITT TOWNSHIP 00007,607
CLINTON COUNTY DUPLAIN TOWNSHIP 00001,528
CLINTON COUNTY EAGLE TOWNSHIP 00001,667
CLINTON COUNTY EAST LANSING CITY 00017,426
CLINTON COUNTY ESSEX TOWNSHIP 00001,405
