Medium Election,5.2.16.1,,,,,,,,,,,
,,,,,,,,Lord of Coin (Vote For=1),Lord of Coin (Vote For=1),Lord of Coin (Vote For=1),Lord of Coin (Vote For=1),Lord of Coin (Vote For=1)
12,Tabulator A,Batch 1,13,Tabulator A-Batch 1-13,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
13,Tabulator A,Batch 1,14,Tabulator A-Batch 1-14,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
14,Tabulator A,Batch 1,15,Tabulator A-Batch 1-15,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
15,Tabulator A,Batch 1,16,Tabulator A-Batch 1-16,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
16,Tabulator A,Batch 1,17,Tabulator A-Batch 1-17,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
17,Tabulator A,Batch 1,18,Tabulator A-Batch 1-18,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
18,Tabulator A,Batch 1,19,Tabulator A-Batch 1-19,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
19,Tabulator A,Batch 1,20,Tabulator A-Batch 1-20,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
20,Tabulator A,Batch 1,21,Tabulator A-Batch 1-21,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
21,Tabulator A,Batch 1,22,Tabulator A-Batch 1-22,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
22,Tabulator A,Batch 1,23,Tabulator A-Batch 1-23,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
23,Tabulator A,Batch 1,24,Tabulator A-Batch 1-24,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
24,Tabulator A,Batch 1,25,Tabulator A-Batch 1-25,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
25,Tabulator A,Batch 1,26,Tabulator A-Batch 1-26,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
26,Tabulator A,Batch 1,27,Tabulator A-Batch 1-27,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
27,Tabulator A,Batch 1,28,Tabulator A-Batch 1-28,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
28,Tabulator A,Batch 1,29,Tabulator A-Batch 1-29,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
29,Tabulator A,Batch 1,30,Tabulator A-Batch 1-30,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
30,Tabulator A,Batch 1,31,Tabulator A-Batch 1-31,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
31,Tabulator A,Batch 1,32,Tabulator A-Batch 1-32,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
32,Tabulator A,Batch 1,33,Tabulator A-Batch 1-33,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
33,Tabulator A,Batch 1,34,Tabulator A-Batch 1-34,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
34,Tabulator A,Batch 1,35,Tabulator A-Batch 1-35,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
35,Tabulator A,Batch 1,36,Tabulator A-Batch 1-36,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
36,Tabulator A,Batch 1,37,Tabulator A-Batch 1-37,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
37,Tabulator A,Batch 1,38,Tabulator A-Batch 1-38,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
38,Tabulator A,Batch 1,39,Tabulator A-Batch 1-39,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
39,Tabulator A,Batch 1,40,Tabulator A-Batch 1-40,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
40,Tabulator A,Batch 1,41,Tabulator A-Batch 1-41,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
41,Tabulator A,Batch 1,42,Tabulator A-Batch 1-42,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
42,Tabulator A,Batch 1,43,Tabulator A-Batch 1-43,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
43,Tabulator A,Batch 1,44,Tabulator A-Batch 1-44,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
44,Tabulator A,Batch 1,45,Tabulator A-Batch 1-45,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
45,Tabulator A,Batch 1,46,Tabulator A-Batch 1-46,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
46,Tabulator A,Batch 1,47,Tabulator A-Batch 1-47,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
47,Tabulator A,Batch 1,48,Tabulator A-Batch 1-48,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
48,Tabulator A,Batch 1,49,Tabulator A-Batch 1-49,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
49,Tabulator A,Batch 1,50,Tabulator A-Batch 1-50,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
50,Tabulator A,Batch 1,51,Tabulator A-Batch 1-51,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
51,Tabulator A,Batch 1,52,Tabulator A-Batch 1-52,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
52,Tabulator A,Batch 1,53,Tabulator A-Batch 1-53,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
53,Tabulator A,Batch 1,54,Tabulator A-Batch 1-54,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
54,Tabulator A,Batch 1,55,Tabulator A-Batch 1-55,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
55,Tabulator A,Batch 1,56,Tabulator A-Batch 1-56,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
56,Tabulator A,Batch 1,57,Tabulator A-Batch 1-57,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
57,Tabulator A,Batch 1,58,Tabulator A-Batch 1-58,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
58,Tabulator A,Batch 1,59,Tabulator A-Batch 1-59,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
59,Tabulator A,Batch 1,60,Tabulator A-Batch 1-60,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
60,Tabulator A,Batch 1,61,Tabulator A-Batch 1-61,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
61,Tabulator A,Batch 1,62,Tabulator A-Batch 1-62,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
62,Tabulator A,Batch 1,63,Tabulator A-Batch 1-63,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
63,Tabulator A,Batch 1,64,Tabulator A-Batch 1-64,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
64,Tabulator A,Batch 1,65,Tabulator A-Batch 1-65,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
65,Tabulator A,Batch 1,66,Tabulator A-Batch 1-66,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
66,Tabulator A,Batch 1,67,Tabulator A-Batch 1-67,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
67,Tabulator A,Batch 1,68,Tabulator A-Batch 1-68,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
68,Tabulator A,Batch 1,69,Tabulator A-Batch 1-69,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
69,Tabulator A,Batch 1,70,Tabulator A-Batch 1-70,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
70,Tabulator A,Batch 1,71,Tabulator A-Batch 1-71,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
71,Tabulator A,Batch 1,72,Tabulator A-Batch 1-72,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
72,Tabulator A,Batch 1,73,Tabulator A-Batch 1-73,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
73,Tabulator A,Batch 1,74,Tabulator A-Batch 1-74,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
74,Tabulator A,Batch 1,75,Tabulator A-Batch 1-75,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
75,Tabulator A,Batch 1,76,Tabulator A-Batch 1-76,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
76,Tabulator A,Batch 1,77,Tabulator A-Batch 1-77,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
77,Tabulator A,Batch 1,78,Tabulator A-Batch 1-78,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
78,Tabulator A,Batch 1,79,Tabulator A-Batch 1-79,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
79,Tabulator A,Batch 1,80,Tabulator A-Batch 1-80,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
80,Tabulator A,Batch 1,81,Tabulator A-Batch 1-81,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
81,Tabulator A,Batch 1,82,Tabulator A-Batch 1-82,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
82,Tabulator A,Batch 1,83,Tabulator A-Batch 1-83,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
83,Tabulator A,Batch 1,84,Tabulator A-Batch 1-84,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
84,Tabulator A,Batch 1,85,Tabulator A-Batch 1-85,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
85,Tabulator A,Batch 1,86,Tabulator A-Batch 1-86,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
86,Tabulator A,Batch 1,87,Tabulator A-Batch 1-87,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
87,Tabulator A,Batch 1,88,Tabulator A-Batch 1-88,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
88,Tabulator A,Batch 1,89,Tabulator A-Batch 1-89,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
89,Tabulator A,Batch 1,90,Tabulator A-Batch 1-90,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
90,Tabulator A,Batch 1,91,Tabulator A-Batch 1-91,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
91,Tabulator A,Batch 1,92,Tabulator A-Batch 1-92,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
92,Tabulator A,Batch 1,93,Tabulator A-Batch 1-93,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
93,Tabulator A,Batch 1,94,Tabulator A-Batch 1-94,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
94,Tabulator A,Batch 1,95,Tabulator A-Batch 1-95,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
95,Tabulator A,Batch 1,96,Tabulator A-Batch 1-96,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
96,Tabulator A,Batch 1,97,Tabulator A-Batch 1-97,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
97,Tabulator A,Batch 1,98,Tabulator A-Batch 1-98,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
98,Tabulator A,Batch 1,99,Tabulator A-Batch 1-99,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
99,Tabulator A,Batch 1,100,Tabulator A-Batch 1-100,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
100,Tabulator A,Batch 1,101,Tabulator A-Batch 1-101,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
101,Tabulator A,Batch 1,102,Tabulator A-Batch 1-102,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
102,Tabulator A,Batch 1,103,Tabulator A-Batch 1-103,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
103,Tabulator A,Batch 1,104,Tabulator A-Batch 1-104,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
104,Tabulator A,Batch 1,105,Tabulator A-Batch 1-105,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
105,Tabulator A,Batch 1,106,Tabulator A-Batch 1-106,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
106,Tabulator A,Batch 1,107,Tabulator A-Batch 1-107,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
107,Tabulator A,Batch 1,108,Tabulator A-Batch 1-108,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
108,Tabulator A,Batch 1,109,Tabulator A-Batch 1-109,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
109,Tabulator A,Batch 1,110,Tabulator A-Batch 1-110,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
110,Tabulator A,Batch 1,111,Tabulator A-Batch 1-111,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
111,Tabulator A,Batch 1,112,Tabulator A-Batch 1-112,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
112,Tabulator A,Batch 1,113,Tabulator A-Batch 1-113,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
113,Tabulator A,Batch 1,114,Tabulator A-Batch 1-114,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
114,Tabulator A,Batch 1,115,Tabulator A-Batch 1-115,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
115,Tabulator A,Batch 1,116,Tabulator A-Batch 1-116,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
116,Tabulator A,Batch 1,117,Tabulator A-Batch 1-117,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
117,Tabulator A,Batch 1,118,Tabulator A-Batch 1-118,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
118,Tabulator A,Batch 1,119,Tabulator A-Batch 1-119,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
119,Tabulator A,Batch 1,120,Tabulator A-Batch 1-120,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
120,Tabulator A,Batch 1,121,Tabulator A-Batch 1-121,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
121,Tabulator A,Batch 1,122,Tabulator A-Batch 1-122,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
122,Tabulator A,Batch 1,123,Tabulator A-Batch 1-123,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
123,Tabulator A,Batch 1,124,Tabulator A-Batch 1-124,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
124,Tabulator A,Batch 1,125,Tabulator A-Batch 1-125,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
125,Tabulator A,Batch 1,126,Tabulator A-Batch 1-126,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
126,Tabulator A,Batch 1,127,Tabulator A-Batch 1-127,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
127,Tabulator A,Batch 1,128,Tabulator A-Batch 1-128,Election Day,precinct-portion-1,ballot-type-1,0,0,0,1,0
128,Tabulator A,Batch 1,129,Tabulator A-Batch 1-129,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
129,Tabulator A,Batch 1,130,Tabulator A-Batch 1-130,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
130,Tabulator A,Batch 1,131,Tabulator A-Batch 1-131,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
131,Tabulator A,Batch 1,132,Tabulator A-Batch 1-132,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
132,Tabulator A,Batch 1,133,Tabulator A-Batch 1-133,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
133,Tabulator A,Batch 1,134,Tabulator A-Batch 1-134,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
134,Tabulator A,Batch 1,135,Tabulator A-Batch 1-135,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
135,Tabulator A,Batch 1,136,Tabulator A-Batch 1-136,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
136,Tabulator A,Batch 1,137,Tabulator A-Batch 1-137,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
137,Tabulator A,Batch 1,138,Tabulator A-Batch 1-138,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
138,Tabulator A,Batch 1,139,Tabulator A-Batch 1-139,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
139,Tabulator A,Batch 1,140,Tabulator A-Batch 1-140,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
140,Tabulator A,Batch 1,141,Tabulator A-Batch 1-141,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
141,Tabulator A,Batch 1,142,Tabulator A-Batch 1-142,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
142,Tabulator A,Batch 1,143,Tabulator A-Batch 1-143,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
143,Tabulator A,Batch 1,144,Tabulator A-Batch 1-144,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
144,Tabulator A,Batch 1,145,Tabulator A-Batch 1-145,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
145,Tabulator A,Batch 1,146,Tabulator A-Batch 1-146,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
146,Tabulator A,Batch 1,147,Tabulator A-Batch 1-147,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
147,Tabulator A,Batch 1,148,Tabulator A-Batch 1-148,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
148,Tabulator A,Batch 1,149,Tabulator A-Batch 1-149,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
149,Tabulator A,Batch 1,150,Tabulator A-Batch 1-150,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
150,Tabulator A,Batch 1,151,Tabulator A-Batch 1-151,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
151,Tabulator A,Batch 1,152,Tabulator A-Batch 1-152,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
152,Tabulator A,Batch 1,153,Tabulator A-Batch 1-153,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
153,Tabulator A,Batch 1,154,Tabulator A-Batch 1-154,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
154,Tabulator A,Batch 1,155,Tabulator A-Batch 1-155,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
155,Tabulator A,Batch 1,156,Tabulator A-Batch 1-156,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
156,Tabulator A,Batch 1,157,Tabulator A-Batch 1-157,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
157,Tabulator A,Batch 1,158,Tabulator A-Batch 1-158,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
158,Tabulator A,Batch 1,159,Tabulator A-Batch 1-159,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
159,Tabulator A,Batch 1,160,Tabulator A-Batch 1-160,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
160,Tabulator A,Batch 1,161,Tabulator A-Batch 1-161,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
161,Tabulator A,Batch 1,162,Tabulator A-Batch 1-162,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
162,Tabulator A,Batch 1,163,Tabulator A-Batch 1-163,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
163,Tabulator A,Batch 1,164,Tabulator A-Batch 1-164,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
164,Tabulator A,Batch 1,165,Tabulator A-Batch 1-165,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
165,Tabulator A,Batch 1,166,Tabulator A-Batch 1-166,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
166,Tabulator A,Batch 1,167,Tabulator A-Batch 1-167,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
167,Tabulator A,Batch 1,168,Tabulator A-Batch 1-168,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
168,Tabulator A,Batch 1,169,Tabulator A-Batch 1-169,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
169,Tabulator A,Batch 1,170,Tabulator A-Batch 1-170,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
170,Tabulator A,Batch 1,171,Tabulator A-Batch 1-171,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
171,Tabulator A,Batch 1,172,Tabulator A-Batch 1-172,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
172,Tabulator A,Batch 1,173,Tabulator A-Batch 1-173,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
173,Tabulator A,Batch 1,174,Tabulator A-Batch 1-174,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
174,Tabulator A,Batch 1,175,Tabulator A-Batch 1-175,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
175,Tabulator A,Batch 1,176,Tabulator A-Batch 1-176,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
176,Tabulator A,Batch 1,177,Tabulator A-Batch 1-177,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
177,Tabulator A,Batch 1,178,Tabulator A-Batch 1-178,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
178,Tabulator A,Batch 1,179,Tabulator A-Batch 1-179,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
179,Tabulator A,Batch 1,180,Tabulator A-Batch 1-180,Election Day,precinct-portion-1,ballot-type-1,0,0,0,1,0
180,Tabulator A,Batch 1,181,Tabulator A-Batch 1-181,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
181,Tabulator A,Batch 1,182,Tabulator A-Batch 1-182,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
182,Tabulator A,Batch 1,183,Tabulator A-Batch 1-183,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
183,Tabulator A,Batch 1,184,Tabulator A-Batch 1-184,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
184,Tabulator A,Batch 1,185,Tabulator A-Batch 1-185,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
185,Tabulator A,Batch 1,186,Tabulator A-Batch 1-186,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
186,Tabulator A,Batch 1,187,Tabulator A-Batch 1-187,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
187,Tabulator A,Batch 1,188,Tabulator A-Batch 1-188,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
188,Tabulator A,Batch 1,189,Tabulator A-Batch 1-189,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
189,Tabulator A,Batch 1,190,Tabulator A-Batch 1-190,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
190,Tabulator A,Batch 1,191,Tabulator A-Batch 1-191,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
191,Tabulator A,Batch 1,192,Tabulator A-Batch 1-192,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
192,Tabulator A,Batch 1,193,Tabulator A-Batch 1-193,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
193,Tabulator A,Batch 1,194,Tabulator A-Batch 1-194,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
194,Tabulator A,Batch 1,195,Tabulator A-Batch 1-195,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
195,Tabulator A,Batch 1,196,Tabulator A-Batch 1-196,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
196,Tabulator A,Batch 1,197,Tabulator A-Batch 1-197,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
197,Tabulator A,Batch 1,198,Tabulator A-Batch 1-198,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
198,Tabulator A,Batch 1,199,Tabulator A-Batch 1-199,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
199,Tabulator A,Batch 1,200,Tabulator A-Batch 1-200,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
200,Tabulator A,Batch 1,201,Tabulator A-Batch 1-201,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
201,Tabulator A,Batch 1,202,Tabulator A-Batch 1-202,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
202,Tabulator A,Batch 1,203,Tabulator A-Batch 1-203,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
203,Tabulator A,Batch 1,204,Tabulator A-Batch 1-204,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
204,Tabulator A,Batch 1,205,Tabulator A-Batch 1-205,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
205,Tabulator A,Batch 1,206,Tabulator A-Batch 1-206,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
206,Tabulator A,Batch 1,207,Tabulator A-Batch 1-207,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
207,Tabulator A,Batch 1,208,Tabulator A-Batch 1-208,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
208,Tabulator A,Batch 1,209,Tabulator A-Batch 1-209,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
209,Tabulator A,Batch 1,210,Tabulator A-Batch 1-210,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
210,Tabulator A,Batch 1,211,Tabulator A-Batch 1-211,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
211,Tabulator A,Batch 1,212,Tabulator A-Batch 1-212,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
212,Tabulator A,Batch 1,213,Tabulator A-Batch 1-213,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
