Small Election,5.2.16.1,,,,,,,,,,,,,,,,,
,,,,,,,,Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1)
76,Tabulator A,Batch 4,3,Tabulator A-Batch 4-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,1,,,
77,Tabulator A,Batch 4,4,Tabulator A-Batch 4-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,1,0,0,,,
78,Tabulator A,Batch 4,5,Tabulator A-Batch 4-5,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
79,Tabulator A,Batch 4,6,Tabulator A-Batch 4-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
80,Tabulator B,Batch 5,1,Tabulator B-Batch 5-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
81,Tabulator B,Batch 5,2,Tabulator B-Batch 5-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
82,Tabulator B,Batch 5,3,Tabulator B-Batch 5-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
83,Tabulator B,Batch 5,4,Tabulator B-Batch 5-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
84,Tabulator B,Batch 5,5,Tabulator B-Batch 5-5,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
85,Tabulator B,Batch 5,6,Tabulator B-Batch 5-6,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1,0,0,0,,,
86,Tabulator B,Batch 5,7,Tabulator B-Batch 5-7,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
87,Tabulator B,Batch 5,8,Tabulator B-Batch 5-8,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
88,Tabulator B,Batch 5,9,Tabulator B-Batch 5-9,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
89,Tabulator B,Batch 5,10,Tabulator B-Batch 5-10,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
90,Tabulator B,Batch 5,11,Tabulator B-Batch 5-11,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
91,Tabulator B,Batch 5,12,Tabulator B-Batch 5-12,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
92,Tabulator B,Batch 5,13,Tabulator B-Batch 5-13,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
93,Tabulator B,Batch 5,14,Tabulator B-Batch 5-14,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
94,Tabulator C,Batch 6,1,Tabulator C-Batch 6-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
95,Tabulator C,Batch 6,2,Tabulator C-Batch 6-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
96,Tabulator C,Batch 6,3,Tabulator C-Batch 6-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
97,Tabulator C,Batch 6,4,Tabulator C-Batch 6-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
98,Tabulator C,Batch 6,5,Tabulator C-Batch 6-5,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
99,Tabulator C,Batch 6,6,Tabulator C-Batch 6-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
100,Tabulator C,Batch 6,7,Tabulator C-Batch 6-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
101,Tabulator C,Batch 6,8,Tabulator C-Batch 6-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
102,Tabulator C,Batch 6,9,Tabulator C-Batch 6-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
103,Tabulator C,Batch 6,10,Tabulator C-Batch 6-10,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
104,Tabulator C,Batch 6,11,Tabulator C-Batch 6-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
105,Tabulator C,Batch 6,12,Tabulator C-Batch 6-12,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
106,Tabulator A,Batch 7,1,Tabulator A-Batch 7-1,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
107,Tabulator A,Batch 7,2,Tabulator A-Batch 7-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
108,Tabulator A,Batch 7,3,Tabulator A-Batch 7-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
109,Tabulator A,Batch 7,4,Tabulator A-Batch 7-4,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
110,Tabulator A,Batch 7,5,Tabulator A-Batch 7-5,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1,0,0,0,,,
111,Tabulator A,Batch 7,6,Tabulator A-Batch 7-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
112,Tabulator A,Batch 7,7,Tabulator A-Batch 7-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
113,Tabulator A,Batch 7,8,Tabulator A-Batch 7-8,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
114,Tabulator A,Batch 7,9,Tabulator A-Batch 7-9,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
115,Tabulator A,Batch 7,10,Tabulator A-Batch 7-10,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
116,Tabulator A,Batch 7,11,Tabulator A-Batch 7-11,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
117,Tabulator A,Batch 7,12,Tabulator A-Batch 7-12,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
118,Tabulator A,Batch 7,13,Tabulator A-Batch 7-13,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
119,Tabulator A,Batch 7,14,Tabulator A-Batch 7-14,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
120,Tabulator A,Batch 7,15,Tabulator A-Batch 7-15,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
121,Tabulator B,Batch 8,1,Tabulator B-Batch 8-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
122,Tabulator B,Batch 8,2,Tabulator B-Batch 8-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
123,Tabulator B,Batch 8,3,Tabulator B-Batch 8-3,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
124,Tabulator B,Batch 8,4,Tabulator B-Batch 8-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
125,Tabulator B,Batch 8,5,Tabulator B-Batch 8-5,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
126,Tabulator B,Batch 8,6,Tabulator B-Batch 8-6,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
127,Tabulator B,Batch 8,7,Tabulator B-Batch 8-7,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
128,Tabulator B,Batch 8,8,Tabulator B-Batch 8-8,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
129,Tabulator B,Batch 8,9,Tabulator B-Batch 8-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
130,Tabulator B,Batch 8,10,Tabulator B-Batch 8-10,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
131,Tabulator B,Batch 8,11,Tabulator B-Batch 8-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
132,Tabulator B,Batch 8,12,Tabulator B-Batch 8-12,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
133,Tabulator B,Batch 8,13,Tabulator B-Batch 8-13,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
134,Tabulator B,Batch 8,14,Tabulator B-Batch 8-14,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
135,Tabulator B,Batch 8,15,Tabulator B-Batch 8-15,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
136,Tabulator B,Batch 8,16,Tabulator B-Batch 8-16,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
137,Tabulator B,Batch 8,17,Tabulator B-Batch 8-17,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
138,Tabulator B,Batch 8,18,Tabulator B-Batch 8-18,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
139,Tabulator B,Batch 8,19,Tabulator B-Batch 8-19,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
140,Tabulator B,Batch 8,20,Tabulator B-Batch 8-20,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
141,Tabulator B,Batch 8,21,Tabulator B-Batch 8-21,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
142,Tabulator B,Batch 8,22,Tabulator B-Batch 8-22,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
143,Tabulator B,Batch 8,23,Tabulator B-Batch 8-23,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
144,Tabulator B,Batch 8,24,Tabulator B-Batch 8-24,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
145,Tabulator B,Batch 8,25,Tabulator B-Batch 8-25,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,1,,,
146,Tabulator B,Batch 8,26,Tabulator B-Batch 8-26,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
147,Tabulator B,Batch 8,27,Tabulator B-Batch 8-27,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
148,Tabulator B,Batch 8,28,Tabulator B-Batch 8-28,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
149,Tabulator B,Batch 8,29,Tabulator B-Batch 8-29,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
150,Tabulator C,Batch 9,1,Tabulator C-Batch 9-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
151,Tabulator C,Batch 9,2,Tabulator C-Batch 9-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
152,Tabulator C,Batch 9,3,Tabulator C-Batch 9-3,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
153,Tabulator C,Batch 9,4,Tabulator C-Batch 9-4,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
154,Tabulator C,Batch 9,5,Tabulator C-Batch 9-5,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
155,Tabulator C,Batch 9,6,Tabulator C-Batch 9-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
156,Tabulator C,Batch 9,7,Tabulator C-Batch 9-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
157,Tabulator C,Batch 9,8,Tabulator C-Batch 9-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
158,Tabulator C,Batch 9,9,Tabulator C-Batch 9-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
159,Tabulator C,Batch 9,10,Tabulator C-Batch 9-10,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
160,Tabulator C,Batch 9,11,Tabulator C-Batch 9-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
161,Tabulator C,Batch 9,12,Tabulator C-Batch 9-12,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
162,Tabulator C,Batch 9,13,Tabulator C-Batch 9-13,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
163,Tabulator C,Batch 9,14,Tabulator C-Batch 9-14,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
164,Tabulator C,Batch 9,15,Tabulator C-Batch 9-15,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
165,Tabulator C,Batch 9,16,Tabulator C-Batch 9-16,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
166,Tabulator C,Batch 9,17,Tabulator C-Batch 9-17,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
167,Tabulator C,Batch 9,18,Tabulator C-Batch 9-18,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
168,Tabulator C,Batch 9,19,Tabulator C-Batch 9-19,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
169,Tabulator A,Batch 10,1,Tabulator A-Batch 10-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
170,Tabulator A,Batch 10,2,Tabulator A-Batch 10-2,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
171,Tabulator A,Batch 10,3,Tabulator A-Batch 10-3,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
172,Tabulator A,Batch 10,4,Tabulator A-Batch 10-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
173,Tabulator A,Batch 10,5,Tabulator A-Batch 10-5,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
174,Tabulator A,Batch 10,6,Tabulator A-Batch 10-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
175,Tabulator A,Batch 10,7,Tabulator A-Batch 10-7,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,1,0,0,0,,,
176,Tabulator A,Batch 10,8,Tabulator A-Batch 10-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
177,Tabulator A,Batch 10,9,Tabulator A-Batch 10-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
178,Tabulator A,Batch 10,10,Tabulator A-Batch 10-10,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
179,Tabulator A,Batch 10,11,Tabulator A-Batch 10-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
180,Tabulator B,Batch 11,1,Tabulator B-Batch 11-1,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1,0,0,0,,,
181,Tabulator B,Batch 11,2,Tabulator B-Batch 11-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
182,Tabulator B,Batch 11,3,Tabulator B-Batch 11-3,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
183,Tabulator B,Batch 11,4,Tabulator B-Batch 11-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
184,Tabulator B,Batch 11,5,Tabulator B-Batch 11-5,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
185,Tabulator B,Batch 11,6,Tabulator B-Batch 11-6,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
186,Tabulator B,Batch 11,7,Tabulator B-Batch 11-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
187,Tabulator B,Batch 11,8,Tabulator B-Batch 11-8,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,1,0,0,0,,,
