Small Election,5.2.16.1,,,,,,,,,,,,,,,,,
,,,,,,,,Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1)
78,Tabulator C,Batch 3,27,Tabulator C-Batch 3-27,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
79,Tabulator C,Batch 3,28,Tabulator C-Batch 3-28,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
80,Tabulator C,Batch 3,29,Tabulator C-Batch 3-29,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
81,Tabulator C,Batch 3,30,Tabulator C-Batch 3-30,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
82,Tabulator A,Batch 4,1,Tabulator A-Batch 4-1,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0,0,0,1,1,0,0
83,Tabulator A,Batch 4,2,Tabulator A-Batch 4-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
84,Tabulator A,Batch 4,3,Tabulator A-Batch 4-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
85,Tabulator A,Batch 4,4,Tabulator A-Batch 4-4,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
86,Tabulator A,Batch 4,5,Tabulator A-Batch 4-5,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
87,Tabulator A,Batch 4,6,Tabulator A-Batch 4-6,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
88,Tabulator B,Batch 5,1,Tabulator B-Batch 5-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
89,Tabulator B,Batch 5,2,Tabulator B-Batch 5-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
90,Tabulator B,Batch 5,3,Tabulator B-Batch 5-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
91,Tabulator B,Batch 5,4,Tabulator B-Batch 5-4,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
92,Tabulator B,Batch 5,5,Tabulator B-Batch 5-5,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
93,Tabulator B,Batch 5,6,Tabulator B-Batch 5-6,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
94,Tabulator B,Batch 5,7,Tabulator B-Batch 5-7,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
95,Tabulator B,Batch 5,8,Tabulator B-Batch 5-8,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
96,Tabulator B,Batch 5,9,Tabulator B-Batch 5-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
97,Tabulator B,Batch 5,10,Tabulator B-Batch 5-10,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
98,Tabulator B,Batch 5,11,Tabulator B-Batch 5-11,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
99,Tabulator B,Batch 5,12,Tabulator B-Batch 5-12,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
100,Tabulator B,Batch 5,13,Tabulator B-Batch 5-13,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0,0,0,1,1,0,0
101,Tabulator B,Batch 5,14,Tabulator B-Batch 5-14,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
102,Tabulator B,Batch 5,15,Tabulator B-Batch 5-15,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
103,Tabulator B,Batch 5,16,Tabulator B-Batch 5-16,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
104,Tabulator B,Batch 5,17,Tabulator B-Batch 5-17,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
105,Tabulator B,Batch 5,18,Tabulator B-Batch 5-18,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
106,Tabulator B,Batch 5,19,Tabulator B-Batch 5-19,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
107,Tabulator B,Batch 5,20,Tabulator B-Batch 5-20,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
108,Tabulator B,Batch 5,21,Tabulator B-Batch 5-21,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
109,Tabulator B,Batch 5,22,Tabulator B-Batch 5-22,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
110,Tabulator B,Batch 5,23,Tabulator B-Batch 5-23,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
111,Tabulator B,Batch 5,24,Tabulator B-Batch 5-24,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
112,Tabulator B,Batch 5,25,Tabulator B-Batch 5-25,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
113,Tabulator B,Batch 5,26,Tabulator B-Batch 5-26,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
114,Tabulator B,Batch 5,27,Tabulator B-Batch 5-27,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
115,Tabulator B,Batch 5,28,Tabulator B-Batch 5-28,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
116,Tabulator B,Batch 5,29,Tabulator B-Batch 5-29,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
117,Tabulator B,Batch 5,30,Tabulator B-Batch 5-30,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0,0,0,0,1,0,0
118,Tabulator B,Batch 5,31,Tabulator B-Batch 5-31,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
119,Tabulator B,Batch 5,32,Tabulator B-Batch 5-32,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
120,Tabulator B,Batch 5,33,Tabulator B-Batch 5-33,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
121,Tabulator B,Batch 5,34,Tabulator B-Batch 5-34,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
122,Tabulator B,Batch 5,35,Tabulator B-Batch 5-35,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
123,Tabulator B,Batch 5,36,Tabulator B-Batch 5-36,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
124,Tabulator B,Batch 5,37,Tabulator B-Batch 5-37,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
125,Tabulator B,Batch 5,38,Tabulator B-Batch 5-38,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
126,Tabulator B,Batch 5,39,Tabulator B-Batch 5-39,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,1,1
127,Tabulator B,Batch 5,40,Tabulator B-Batch 5-40,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
128,Tabulator B,Batch 5,41,Tabulator B-Batch 5-41,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
129,Tabulator B,Batch 5,42,Tabulator B-Batch 5-42,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
130,Tabulator C,Batch 6,1,Tabulator C-Batch 6-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
131,Tabulator C,Batch 6,2,Tabulator C-Batch 6-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
132,Tabulator C,Batch 6,3,Tabulator C-Batch 6-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,1,1
133,Tabulator C,Batch 6,4,Tabulator C-Batch 6-4,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
134,Tabulator C,Batch 6,5,Tabulator C-Batch 6-5,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
135,Tabulator C,Batch 6,6,Tabulator C-Batch 6-6,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0,0,0,0,1,0,0
136,Tabulator C,Batch 6,7,Tabulator C-Batch 6-7,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
137,Tabulator C,Batch 6,8,Tabulator C-Batch 6-8,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
138,Tabulator C,Batch 6,9,Tabulator C-Batch 6-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
139,Tabulator C,Batch 6,10,Tabulator C-Batch 6-10,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
140,Tabulator C,Batch 6,11,Tabulator C-Batch 6-11,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
141,Tabulator C,Batch 6,12,Tabulator C-Batch 6-12,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
142,Tabulator A,Batch 7,1,Tabulator A-Batch 7-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
143,Tabulator A,Batch 7,2,Tabulator A-Batch 7-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
144,Tabulator A,Batch 7,3,Tabulator A-Batch 7-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
145,Tabulator A,Batch 7,4,Tabulator A-Batch 7-4,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
146,Tabulator A,Batch 7,5,Tabulator A-Batch 7-5,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
147,Tabulator A,Batch 7,6,Tabulator A-Batch 7-6,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,1,1
148,Tabulator A,Batch 7,7,Tabulator A-Batch 7-7,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
149,Tabulator A,Batch 7,8,Tabulator A-Batch 7-8,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
150,Tabulator A,Batch 7,9,Tabulator A-Batch 7-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
151,Tabulator A,Batch 7,10,Tabulator A-Batch 7-10,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
152,Tabulator A,Batch 7,11,Tabulator A-Batch 7-11,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
153,Tabulator A,Batch 7,12,Tabulator A-Batch 7-12,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
154,Tabulator A,Batch 7,13,Tabulator A-Batch 7-13,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
155,Tabulator A,Batch 7,14,Tabulator A-Batch 7-14,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
156,Tabulator A,Batch 7,15,Tabulator A-Batch 7-15,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
157,Tabulator A,Batch 7,16,Tabulator A-Batch 7-16,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
158,Tabulator A,Batch 7,17,Tabulator A-Batch 7-17,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
159,Tabulator A,Batch 7,18,Tabulator A-Batch 7-18,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,1,0
160,Tabulator A,Batch 7,19,Tabulator A-Batch 7-19,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
161,Tabulator A,Batch 7,20,Tabulator A-Batch 7-20,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
162,Tabulator A,Batch 7,21,Tabulator A-Batch 7-21,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
163,Tabulator A,Batch 7,22,Tabulator A-Batch 7-22,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
164,Tabulator A,Batch 7,23,Tabulator A-Batch 7-23,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
165,Tabulator A,Batch 7,24,Tabulator A-Batch 7-24,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
166,Tabulator A,Batch 7,25,Tabulator A-Batch 7-25,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
167,Tabulator A,Batch 7,26,Tabulator A-Batch 7-26,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
168,Tabulator A,Batch 7,27,Tabulator A-Batch 7-27,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
169,Tabulator A,Batch 7,28,Tabulator A-Batch 7-28,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
170,Tabulator A,Batch 7,29,Tabulator A-Batch 7-29,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
171,Tabulator A,Batch 7,30,Tabulator A-Batch 7-30,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
172,Tabulator A,Batch 7,31,Tabulator A-Batch 7-31,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
173,Tabulator A,Batch 7,32,Tabulator A-Batch 7-32,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
174,Tabulator A,Batch 7,33,Tabulator A-Batch 7-33,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
175,Tabulator A,Batch 7,34,Tabulator A-Batch 7-34,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
176,Tabulator A,Batch 7,35,Tabulator A-Batch 7-35,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
177,Tabulator A,Batch 7,36,Tabulator A-Batch 7-36,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
178,Tabulator A,Batch 7,37,Tabulator A-Batch 7-37,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
179,Tabulator A,Batch 7,38,Tabulator A-Batch 7-38,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
180,Tabulator A,Batch 7,39,Tabulator A-Batch 7-39,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
181,Tabulator A,Batch 7,40,Tabulator A-Batch 7-40,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
182,Tabulator A,Batch 7,41,Tabulator A-Batch 7-41,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
183,Tabulator A,Batch 7,42,Tabulator A-Batch 7-42,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
184,Tabulator B,Batch 8,1,Tabulator B-Batch 8-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
185,Tabulator B,Batch 8,2,Tabulator B-Batch 8-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
186,Tabulator B,Batch 8,3,Tabulator B-Batch 8-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
187,Tabulator B,Batch 8,4,Tabulator B-Batch 8-4,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
188,Tabulator B,Batch 8,5,Tabulator B-Batch 8-5,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
189,Tabulator B,Batch 8,6,Tabulator B-Batch 8-6,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
190,Tabulator B,Batch 8,7,Tabulator B-Batch 8-7,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
191,Tabulator B,Batch 8,8,Tabulator B-Batch 8-8,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
192,Tabulator B,Batch 8,9,Tabulator B-Batch 8-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
